bead_id,session_id,agent_id,reviewer_agent_id,commit_sha,orchestrator_dispatch_ts,first_subagent_tool_ts,commit_ts,commit_author_ts,reviewer_last_assistant_ts,spin_up_seconds,task_work_seconds,merge_seconds,reviewer_seconds,total_seconds,notes
hk-pvcs.3,196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,a2f839a2acbb617ff,a54a44fd8d8db0a83,7462e99,2026-05-07T05:07:00.181Z,2026-05-07T05:07:05.247Z,2026-05-07T05:08:18.329Z,2026-05-06T22:08:18-07:00,2026-05-07T05:10:32.646Z,5.1,73.1,-0.3,134.3,212.5,
hk-pvcs.7,196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,aace928c4b5871481,a32320f28529203bd,238c5d7,2026-05-07T05:18:54.994Z,2026-05-07T05:19:00.319Z,2026-05-07T05:21:19.070Z,2026-05-06T22:21:19-07:00,2026-05-07T05:23:55.289Z,5.3,138.8,-0.1,156.2,300.3,
hk-pvcs.2,196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,ab73f75174cfecfb2,aece9d2c86f190d3c,ad369e9,2026-05-07T05:10:46.124Z,2026-05-07T05:10:51.460Z,2026-05-07T05:11:20.662Z,2026-05-06T22:07:45-07:00,2026-05-07T05:13:43.263Z,5.3,29.2,-215.7,142.6,177.1,
hk-b3f.67,e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,a443e80058e273f77,a20f5e6286a573ff6,df8267b,2026-05-07T05:36:22.169Z,2026-05-07T05:36:25.308Z,2026-05-07T05:40:29.258Z,2026-05-06T22:40:29-07:00,2026-05-07T05:53:48.744Z,3.1,243.9,-0.3,799.5,1046.6,
hk-872.46,ab939582-4be6-4f98-99e9-ba0a4c59321f,aa66f5dc39ecfa3b5,a1367979741c67ed2,ceb6bb4,2026-05-07T06:11:43.615Z,2026-05-07T06:11:47.029Z,2026-05-07T06:13:48.382Z,2026-05-06T23:13:48-07:00,2026-05-07T06:15:24.132Z,3.4,121.4,-0.4,95.8,220.5,
hk-zs0.54,ab939582-4be6-4f98-99e9-ba0a4c59321f,a4f656e4e812a2f7a,a31ebf7b666165c50,627d8eb,2026-05-07T06:12:55.029Z,2026-05-07T06:13:00.036Z,2026-05-07T06:14:52.430Z,2026-05-06T23:14:53-07:00,2026-05-07T06:17:00.976Z,5.0,112.4,0.6,128.5,245.9,
hk-b3f.2,5d26a493-397d-46d2-8d29-c61d88742e48,a0516fd4f72927ed0,a3b1af6ca1d01b20f,500c207,2026-05-07T22:37:57.562Z,2026-05-07T22:38:00.830Z,2026-05-07T22:40:08.304Z,2026-05-07T15:40:08-07:00,2026-05-07T22:41:45.429Z,3.3,127.5,-0.3,97.1,227.9,
hk-8mwo.61,5d26a493-397d-46d2-8d29-c61d88742e48,a0d6612253074409e,af0abf847fa2505d9,c851eb0,2026-05-07T22:28:54.095Z,2026-05-07T22:28:57.417Z,2026-05-07T22:30:44.710Z,2026-05-07T15:30:44-07:00,2026-05-07T22:31:56.414Z,3.3,107.3,-0.7,71.7,182.3,
hk-872.8,5d26a493-397d-46d2-8d29-c61d88742e48,ad53782deb8781125,a126fd55dfd6952ca,1d8f312,2026-05-07T22:29:29.445Z,2026-05-07T22:29:32.543Z,2026-05-07T22:31:31.959Z,2026-05-07T15:31:32-07:00,2026-05-07T22:33:04.169Z,3.1,119.4,0.0,92.2,214.7,
hk-hqwn.2,5d26a493-397d-46d2-8d29-c61d88742e48,afd23f03cf8f1917d,a13825c2fe8450c93,e07470f,2026-05-07T22:38:28.535Z,2026-05-07T22:38:31.545Z,2026-05-07T22:40:20.150Z,2026-05-07T15:40:21-07:00,2026-05-07T22:41:50.000Z,3.0,108.6,0.8,89.8,201.5,
