bead_id,session_id,sub_agent_id,description,spin_up_seconds,task_work_seconds,merge_seconds,reviewer_seconds,total_seconds,jsonl_duration_ms,dispatch_ts_utc,commit_sha,commit_ts_utc,notes
kerf-v0n,55603e31-930e-4b1f-a03a-e31483641041,a0152507899a284b7,Implement kerf-v0n (Plan 008 / B8),3.9,82.4,0.0,,86.2,92917,2026-05-15T17:17:19.849Z,152a62c17b9fe97728f4b9ab5eaf0b135915d30c,2026-05-15T10:18:46-07:00,merge_clamped_neg_-0.2s;2_commit_calls
kerf-jpk,55603e31-930e-4b1f-a03a-e31483641041,a041153f685dd9448,Implement kerf-jpk: scenario YAML,3.8,175.7,0.0,132.0,179.3,191840,2026-05-15T06:01:17.714Z,89230f935d14a3f0efd1d74e73c513b66bfeb9fc,2026-05-14T23:04:17-07:00,merge_clamped_neg_-0.2s
kerf-nm3,55603e31-930e-4b1f-a03a-e31483641041,a050e64f80a883b7e,Implement kerf-nm3: cmd/next rewrite,4.1,517.2,0.0,122.2,521.1,543913,2026-05-15T06:21:00.946Z,df2e1729d901ca9b9f0993c05f583115136b7a8e,2026-05-14T23:29:42-07:00,merge_clamped_neg_-0.2s
kerf-bhg,55603e31-930e-4b1f-a03a-e31483641041,a07222015184fc7c5,Implement kerf-bhg (Plan 008 / B3 — B:F4 attachment),3.8,462.9,0.0,,466.5,481149,2026-05-15T17:12:34.450Z,3a20dfb05c637e1b920932fa7bb2729ba7364bc5,2026-05-15T10:20:21-07:00,merge_clamped_neg_-0.1s
kerf-7ll,55603e31-930e-4b1f-a03a-e31483641041,a15e2b2deb51146ff,Implement kerf-7ll: sub-seed util,3.9,122.4,0.1,60.6,126.4,140082,2026-05-15T06:01:01.635Z,b67204c47a86b2be548b929f40a0dcc7e5d9af4a,2026-05-14T23:03:08-07:00,
kerf-1pb,55603e31-930e-4b1f-a03a-e31483641041,a1e8e7f0db0e4abe3,Implement kerf-1pb: project.yaml bead_filter,6.0,86.7,0.0,106.3,92.5,99791,2026-05-15T06:07:54.512Z,42e3fca5db947fd297d013eb38d897598757267e,2026-05-14T23:09:27-07:00,merge_clamped_neg_-0.3s
kerf-6un,55603e31-930e-4b1f-a03a-e31483641041,a2326074ed6d0ffe4,Implement kerf-6un: run orchestrator,4.0,555.0,0.0,81.1,558.2,576993,2026-05-15T06:32:47.812Z,cd7da1da55349b146bc785782ec8e252f0b27d60,2026-05-14T23:42:06-07:00,merge_clamped_neg_-0.9s
kerf-v20,55603e31-930e-4b1f-a03a-e31483641041,a25d62b78fc2664a3,Implement kerf-v20: tick loop + Hooks + Policy,4.4,295.4,0.0,99.1,299.7,315401,2026-05-15T06:17:44.274Z,d932dfdf1cb53101ccd681f1a9e20c6db671ddaa,2026-05-14T23:22:44-07:00,merge_clamped_neg_-0.1s
kerf-nl3,55603e31-930e-4b1f-a03a-e31483641041,a4758bc22d5c60e79,Implement kerf-nl3: loop hook wiring,4.0,273.0,0.0,67.5,276.5,286551,2026-05-15T06:26:30.510Z,a305f9466c0d8dbbfddf8756ff56fc63acc2e664,2026-05-14T23:31:07-07:00,merge_clamped_neg_-0.5s
kerf-dwh,55603e31-930e-4b1f-a03a-e31483641041,a4bce2a1c6b5aafaf,Implement kerf-dwh: baselines,6.6,194.3,0.0,78.4,200.1,214234,2026-05-15T06:26:14.858Z,ebbe478d8092682ba1d810b8ecc32c602bdbb3dd,2026-05-14T23:29:35-07:00,merge_clamped_neg_-0.7s
